country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Cape Verde,CV,CPV,132,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2020,>95,Total,Units,%,Estimated value,Free,,Under 15 years old
Cape Verde,CV,CPV,132,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2021,>95,Total,Units,%,Estimated value,Free,,Under 15 years old
Cape Verde,CV,CPV,132,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2022,>95,Total,Units,%,Estimated value,Free,,Under 15 years old
Cape Verde,CV,CPV,132,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2023,>95,Total,Units,%,Estimated value,Free,,Under 15 years old
Cambodia,KH,KHM,116,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2010,57,Total,Units,%,Estimated value,Free,,Under 15 years old
Cambodia,KH,KHM,116,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2011,63,Total,Units,%,Estimated value,Free,,Under 15 years old
Cambodia,KH,KHM,116,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2012,65,Total,Units,%,Estimated value,Free,,Under 15 years old
Cambodia,KH,KHM,116,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2013,64,Total,Units,%,Estimated value,Free,,Under 15 years old
Cambodia,KH,KHM,116,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2014,65,Total,Units,%,Estimated value,Free,,Under 15 years old
Cambodia,KH,KHM,116,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2015,66,Total,Units,%,Estimated value,Free,,Under 15 years old
Cambodia,KH,KHM,116,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2016,67,Total,Units,%,Estimated value,Free,,Under 15 years old
Cambodia,KH,KHM,116,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2017,69,Total,Units,%,Estimated value,Free,,Under 15 years old
Cambodia,KH,KHM,116,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2018,74,Total,Units,%,Estimated value,Free,,Under 15 years old
Cambodia,KH,KHM,116,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2019,69,Total,Units,%,Estimated value,Free,,Under 15 years old
Cambodia,KH,KHM,116,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2020,63,Total,Units,%,Estimated value,Free,,Under 15 years old
Cambodia,KH,KHM,116,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2021,53,Total,Units,%,Estimated value,Free,,Under 15 years old
Cambodia,KH,KHM,116,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2022,56,Total,Units,%,Estimated value,Free,,Under 15 years old
Cambodia,KH,KHM,116,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2023,56,Total,Units,%,Estimated value,Free,,Under 15 years old
Cameroon,CM,CMR,120,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2010,4.30,Female,,%,,,,10 to 19 years old
Cameroon,CM,CMR,120,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2011,5.20,Female,,%,,,,10 to 19 years old
Cameroon,CM,CMR,120,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2012,8.10,Female,,%,,,,10 to 19 years old
Cameroon,CM,CMR,120,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2013,11.50,Female,,%,,,,10 to 19 years old
Cameroon,CM,CMR,120,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2014,15.20,Female,,%,,,,10 to 19 years old
Cameroon,CM,CMR,120,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2015,18.00,Female,,%,,,,10 to 19 years old
Cameroon,CM,CMR,120,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2016,22.70,Female,,%,,,,10 to 19 years old
Cameroon,CM,CMR,120,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2017,31.10,Female,,%,,,,10 to 19 years old
Cameroon,CM,CMR,120,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2018,37.00,Female,,%,,,,10 to 19 years old
Cameroon,CM,CMR,120,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2019,41.00,Female,,%,,,,10 to 19 years old
Cameroon,CM,CMR,120,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2020,44.60,Female,,%,,,,10 to 19 years old
Cameroon,CM,CMR,120,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2021,51.40,Female,,%,,,,10 to 19 years old
Cameroon,CM,CMR,120,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2010,7.40,Male,,%,,,,10 to 19 years old
Cameroon,CM,CMR,120,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2011,8.70,Male,,%,,,,10 to 19 years old
Cameroon,CM,CMR,120,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2012,9.70,Male,,%,,,,10 to 19 years old
Cameroon,CM,CMR,120,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2013,10.00,Male,,%,,,,10 to 19 years old
Cameroon,CM,CMR,120,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2014,12.50,Male,,%,,,,10 to 19 years old
Cameroon,CM,CMR,120,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2015,14.60,Male,,%,,,,10 to 19 years old
Cameroon,CM,CMR,120,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2016,18.50,Male,,%,,,,10 to 19 years old
Cameroon,CM,CMR,120,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2017,25.80,Male,,%,,,,10 to 19 years old
Cameroon,CM,CMR,120,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2018,32.30,Male,,%,,,,10 to 19 years old
Cameroon,CM,CMR,120,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2019,36.50,Male,,%,,,,10 to 19 years old
Cameroon,CM,CMR,120,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2020,41.50,Male,,%,,,,10 to 19 years old
Cameroon,CM,CMR,120,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2021,48.70,Male,,%,,,,10 to 19 years old
Cameroon,CM,CMR,120,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2010,5.30,Total,,%,,,,10 to 19 years old
Cameroon,CM,CMR,120,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2011,6.50,Total,,%,,,,10 to 19 years old
Cameroon,CM,CMR,120,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2012,8.70,Total,,%,,,,10 to 19 years old
Cameroon,CM,CMR,120,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2013,11.00,Total,,%,,,,10 to 19 years old
Cameroon,CM,CMR,120,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2014,14.20,Total,,%,,,,10 to 19 years old
Cameroon,CM,CMR,120,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2015,16.70,Total,,%,,,,10 to 19 years old
Cameroon,CM,CMR,120,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2016,21.00,Total,,%,,,,10 to 19 years old
Cameroon,CM,CMR,120,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2017,29.00,Total,,%,,,,10 to 19 years old
Cameroon,CM,CMR,120,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2018,35.10,Total,,%,,,,10 to 19 years old
Cameroon,CM,CMR,120,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2019,39.10,Total,,%,,,,10 to 19 years old
Cameroon,CM,CMR,120,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2020,43.30,Total,,%,,,,10 to 19 years old
Cameroon,CM,CMR,120,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2021,50.30,Total,,%,,,,10 to 19 years old
Canada,CA,CAN,124,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2010,18.90,Female,,%,,,,10 to 19 years old
Canada,CA,CAN,124,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2011,21.00,Female,,%,,,,10 to 19 years old
Canada,CA,CAN,124,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2012,23.50,Female,,%,,,,10 to 19 years old
Canada,CA,CAN,124,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2013,27.40,Female,,%,,,,10 to 19 years old
Canada,CA,CAN,124,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2014,33.70,Female,,%,,,,10 to 19 years old
Canada,CA,CAN,124,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2015,38.20,Female,,%,,,,10 to 19 years old
Canada,CA,CAN,124,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2016,38.60,Female,,%,,,,10 to 19 years old
Canada,CA,CAN,124,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2017,40.90,Female,,%,,,,10 to 19 years old
Canada,CA,CAN,124,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2018,46.00,Female,,%,,,,10 to 19 years old
Canada,CA,CAN,124,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2019,48.30,Female,,%,,,,10 to 19 years old
Canada,CA,CAN,124,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2020,52.90,Female,,%,,,,10 to 19 years old
Canada,CA,CAN,124,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2021,59.80,Female,,%,,,,10 to 19 years old
Canada,CA,CAN,124,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2010,17.90,Male,,%,,,,10 to 19 years old
Canada,CA,CAN,124,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2011,20.20,Male,,%,,,,10 to 19 years old
Canada,CA,CAN,124,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2012,22.30,Male,,%,,,,10 to 19 years old
Canada,CA,CAN,124,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2013,27.00,Male,,%,,,,10 to 19 years old
Canada,CA,CAN,124,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2014,35.10,Male,,%,,,,10 to 19 years old
Canada,CA,CAN,124,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2015,41.50,Male,,%,,,,10 to 19 years old
Canada,CA,CAN,124,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2016,42.40,Male,,%,,,,10 to 19 years old
Canada,CA,CAN,124,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2017,45.20,Male,,%,,,,10 to 19 years old
Canada,CA,CAN,124,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2018,50.00,Male,,%,,,,10 to 19 years old
Canada,CA,CAN,124,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2019,53.70,Male,,%,,,,10 to 19 years old
Canada,CA,CAN,124,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2020,58.40,Male,,%,,,,10 to 19 years old
Canada,CA,CAN,124,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2021,61.90,Male,,%,,,,10 to 19 years old
Canada,CA,CAN,124,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2010,18.40,Total,,%,,,,10 to 19 years old
Canada,CA,CAN,124,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2011,20.20,Total,,%,,,,10 to 19 years old
Canada,CA,CAN,124,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2012,22.90,Total,,%,,,,10 to 19 years old
Canada,CA,CAN,124,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2013,27.20,Total,,%,,,,10 to 19 years old
Canada,CA,CAN,124,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2014,34.90,Total,,%,,,,10 to 19 years old
Canada,CA,CAN,124,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2015,39.30,Total,,%,,,,10 to 19 years old
Canada,CA,CAN,124,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2016,40.30,Total,,%,,,,10 to 19 years old
Canada,CA,CAN,124,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2017,43.90,Total,,%,,,,10 to 19 years old
Canada,CA,CAN,124,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2018,47.50,Total,,%,,,,10 to 19 years old
Canada,CA,CAN,124,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2019,50.00,Total,,%,,,,10 to 19 years old
Canada,CA,CAN,124,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2020,55.70,Total,,%,,,,10 to 19 years old
Canada,CA,CAN,124,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2021,60.80,Total,,%,,,,10 to 19 years old
Central African Republic,CF,CAF,140,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2010,4.30,Female,,%,,,,10 to 19 years old
Central African Republic,CF,CAF,140,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2011,4.60,Female,,%,,,,10 to 19 years old
Central African Republic,CF,CAF,140,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2012,4.70,Female,,%,,,,10 to 19 years old
Central African Republic,CF,CAF,140,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2013,5.10,Female,,%,,,,10 to 19 years old
Central African Republic,CF,CAF,140,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2014,7.90,Female,,%,,,,10 to 19 years old
Central African Republic,CF,CAF,140,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2015,12.70,Female,,%,,,,10 to 19 years old
Central African Republic,CF,CAF,140,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2016,18.30,Female,,%,,,,10 to 19 years old
Central African Republic,CF,CAF,140,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2017,24.70,Female,,%,,,,10 to 19 years old
Central African Republic,CF,CAF,140,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2018,27.50,Female,,%,,,,10 to 19 years old
Central African Republic,CF,CAF,140,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2019,32.90,Female,,%,,,,10 to 19 years old
Central African Republic,CF,CAF,140,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2020,38.20,Female,,%,,,,10 to 19 years old
Central African Republic,CF,CAF,140,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2021,44.40,Female,,%,,,,10 to 19 years old
Central African Republic,CF,CAF,140,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2010,4.80,Male,,%,,,,10 to 19 years old
Central African Republic,CF,CAF,140,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2011,5.00,Male,,%,,,,10 to 19 years old
Central African Republic,CF,CAF,140,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2012,5.30,Male,,%,,,,10 to 19 years old
Central African Republic,CF,CAF,140,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2013,6.30,Male,,%,,,,10 to 19 years old
Central African Republic,CF,CAF,140,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2014,9.80,Male,,%,,,,10 to 19 years old
Central African Republic,CF,CAF,140,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2015,13.90,Male,,%,,,,10 to 19 years old
Central African Republic,CF,CAF,140,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2016,14.60,Male,,%,,,,10 to 19 years old
Central African Republic,CF,CAF,140,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2017,14.10,Male,,%,,,,10 to 19 years old
Central African Republic,CF,CAF,140,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2018,18.10,Male,,%,,,,10 to 19 years old
Central African Republic,CF,CAF,140,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2019,23.70,Male,,%,,,,10 to 19 years old
Central African Republic,CF,CAF,140,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2020,29.80,Male,,%,,,,10 to 19 years old
Central African Republic,CF,CAF,140,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2021,37.60,Male,,%,,,,10 to 19 years old
Central African Republic,CF,CAF,140,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2010,4.60,Total,,%,,,,10 to 19 years old
Central African Republic,CF,CAF,140,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2011,4.80,Total,,%,,,,10 to 19 years old
Central African Republic,CF,CAF,140,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2012,5.00,Total,,%,,,,10 to 19 years old
Central African Republic,CF,CAF,140,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2013,5.70,Total,,%,,,,10 to 19 years old
Central African Republic,CF,CAF,140,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2014,8.70,Total,,%,,,,10 to 19 years old
Central African Republic,CF,CAF,140,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2015,13.20,Total,,%,,,,10 to 19 years old
Central African Republic,CF,CAF,140,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2016,16.60,Total,,%,,,,10 to 19 years old
Central African Republic,CF,CAF,140,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2017,19.90,Total,,%,,,,10 to 19 years old
Central African Republic,CF,CAF,140,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2018,23.30,Total,,%,,,,10 to 19 years old
Central African Republic,CF,CAF,140,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2019,28.70,Total,,%,,,,10 to 19 years old
Central African Republic,CF,CAF,140,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2020,34.50,Total,,%,,,,10 to 19 years old
Central African Republic,CF,CAF,140,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2021,41.30,Total,,%,,,,10 to 19 years old
Chad,TD,TCD,148,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2010,6,Total,Units,%,Estimated value,Free,,Under 15 years old
Chad,TD,TCD,148,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2011,9,Total,Units,%,Estimated value,Free,,Under 15 years old
Chad,TD,TCD,148,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2012,9,Total,Units,%,Estimated value,Free,,Under 15 years old
Chad,TD,TCD,148,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2013,9,Total,Units,%,Estimated value,Free,,Under 15 years old
Chad,TD,TCD,148,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2014,10,Total,Units,%,Estimated value,Free,,Under 15 years old
Chad,TD,TCD,148,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2015,10,Total,Units,%,Estimated value,Free,,Under 15 years old
Chad,TD,TCD,148,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2016,10,Total,Units,%,Estimated value,Free,,Under 15 years old
Chad,TD,TCD,148,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2017,10,Total,Units,%,Estimated value,Free,,Under 15 years old
Chad,TD,TCD,148,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2018,10,Total,Units,%,Estimated value,Free,,Under 15 years old
Chad,TD,TCD,148,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2019,10,Total,Units,%,Estimated value,Free,,Under 15 years old
Chad,TD,TCD,148,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2020,9,Total,Units,%,Estimated value,Free,,Under 15 years old
Chad,TD,TCD,148,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2021,10,Total,Units,%,Estimated value,Free,,Under 15 years old
Chad,TD,TCD,148,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2022,11,Total,Units,%,Estimated value,Free,,Under 15 years old
Chad,TD,TCD,148,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2023,14,Total,Units,%,Estimated value,Free,,Under 15 years old
Chile,CL,CHL,152,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2010,18.30,Female,,%,,,,10 to 19 years old
Chile,CL,CHL,152,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2011,19.40,Female,,%,,,,10 to 19 years old
Chile,CL,CHL,152,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2012,21.30,Female,,%,,,,10 to 19 years old
Chile,CL,CHL,152,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2013,26.40,Female,,%,,,,10 to 19 years old
Chile,CL,CHL,152,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2014,28.30,Female,,%,,,,10 to 19 years old
Chile,CL,CHL,152,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2015,28.60,Female,,%,,,,10 to 19 years old
Chile,CL,CHL,152,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2016,29.00,Female,,%,,,,10 to 19 years old
Chile,CL,CHL,152,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2017,33.20,Female,,%,,,,10 to 19 years old
Chile,CL,CHL,152,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2018,39.40,Female,,%,,,,10 to 19 years old
Chile,CL,CHL,152,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2019,45.70,Female,,%,,,,10 to 19 years old
Chile,CL,CHL,152,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2020,48.10,Female,,%,,,,10 to 19 years old
Chile,CL,CHL,152,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2021,46.80,Female,,%,,,,10 to 19 years old
Chile,CL,CHL,152,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2010,6.70,Male,,%,,,,10 to 19 years old
Chile,CL,CHL,152,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2011,7.10,Male,,%,,,,10 to 19 years old
Chile,CL,CHL,152,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2012,8.50,Male,,%,,,,10 to 19 years old
Chile,CL,CHL,152,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2013,12.00,Male,,%,,,,10 to 19 years old
Chile,CL,CHL,152,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2014,13.90,Male,,%,,,,10 to 19 years old
Chile,CL,CHL,152,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2015,14.30,Male,,%,,,,10 to 19 years old
Chile,CL,CHL,152,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2016,16.00,Male,,%,,,,10 to 19 years old
Chile,CL,CHL,152,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2017,20.30,Male,,%,,,,10 to 19 years old
Chile,CL,CHL,152,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2018,23.50,Male,,%,,,,10 to 19 years old
Chile,CL,CHL,152,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2019,25.10,Male,,%,,,,10 to 19 years old
Chile,CL,CHL,152,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2020,25.50,Male,,%,,,,10 to 19 years old
Chile,CL,CHL,152,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2021,24.00,Male,,%,,,,10 to 19 years old
Chile,CL,CHL,152,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2010,9.00,Total,,%,,,,10 to 19 years old
Chile,CL,CHL,152,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2011,9.40,Total,,%,,,,10 to 19 years old
Chile,CL,CHL,152,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2012,10.90,Total,,%,,,,10 to 19 years old
Chile,CL,CHL,152,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2013,14.70,Total,,%,,,,10 to 19 years old
Chile,CL,CHL,152,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2014,16.50,Total,,%,,,,10 to 19 years old
Chile,CL,CHL,152,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2015,16.80,Total,,%,,,,10 to 19 years old
Chile,CL,CHL,152,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2016,18.20,Total,,%,,,,10 to 19 years old
Chile,CL,CHL,152,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2017,22.70,Total,,%,,,,10 to 19 years old
Chile,CL,CHL,152,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2018,26.40,Total,,%,,,,10 to 19 years old
Chile,CL,CHL,152,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2019,29.00,Total,,%,,,,10 to 19 years old
Chile,CL,CHL,152,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2020,29.90,Total,,%,,,,10 to 19 years old
Chile,CL,CHL,152,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2021,28.30,Total,,%,,,,10 to 19 years old
China,CN,CHN,156,Per cent of children (aged 0-14 years) living with HIV and receiving antiretroviral therapy (ART),2010,4.80,Female,,%,,,,10 to 19 years old
